id,name,doro,old-doro,man_dae,man_so,man2_dae,man2_so,woman,woman2,latitude,longitude
130,갈남항 공동화장실(전망데크),강원도 삼척시 삼척로 1972,강원도 삼척시 원덕읍 갈남리 104-24,1,1,0,0,2,0,37.28106806,129.3229385
131,넘버원주유소,강원도 삼척시 원덕읍 삼척로 634,강원도 삼척시 원덕읍 옥원리 33-2,1,2,0,0,2,0,37.1898729,129.3303949
132,노곡주유소,강원도 삼척시 원덕읍 삼척로 865,강원도 삼척시 원덕읍 노곡리 245,1,1,0,0,1,0,37.20658331,129.3402278
133,도경계화장실,강원도 삼척시,강원도 삼척시 원덕읍 월천리 산98-1,2,3,1,1,5,1,37.14957123,129.3560212
134,비화항 공동화장실 1,,강원도 삼척시 원덕읍 비화진리 14-6,1,2,0,0,2,0,37.21441123,129.3458312
135,비화항 공동화장실 2,,강원도 삼척시 원덕읍 비화진리 14-6,1,2,0,0,2,0,37.21483123,129.3455512
136,수로부인헌화공원(매표소),강원도 삼척시 임원항구로 33-17,강원도 삼척시 원덕읍 임원리 124-24,3,3,1,0,4,1,37.23042048,129.3469715
137,수로부인헌화공원(정상),강원도 삼척시 임원항구로 33-17,강원도 삼척시 원덕읍 임원리 124-24,1,2,0,0,3,0,37.23042048,129.3469715
138,수로부인헌화공원 입구(등대),강원도 삼척시,강원도 삼척시 원덕읍 임원리 124,1,2,0,0,3,0,37.23029123,129.3461123
139,신남항 공동화장실(회센터 앞),강원도 삼척시 신남길 104,강원도 삼척시 원덕읍 갈남리 303-30,2,2,1,1,4,1,37.26603362,129.3271486
140,원덕농협주유소,강원도 삼척시 원덕읍 가곡천로 3021,강원도 삼척시 원덕읍 노경리 718-10,0,0,0,0,0,0,37.16590067,129.3286686
141,원덕도서관,강원도 삼척시 원덕읍 삼척로 446-13,강원도 삼척시 원덕읍 호산리 364,6,3,0,0,9,6,37.17700025,129.3349649
142,원덕보건출장소,강원도 삼척시 원덕읍 삼척로 445-53,강원도 삼척시 원덕읍 호산리 225-1,1,2,0,0,2,0,37.17569352,129.3341813
143,원덕에너지(주),강원도 삼척시 원덕읍 삼척로 437-9,강원도 삼척시 원덕읍 호산리 228-6,0,0,0,0,0,0,37.17572941,129.3353765
144,원덕읍사무소,강원도 삼척시 원덕읍 삼척로 440,강원도 삼척시 원덕읍 호산리 240,4,4,0,0,5,0,37.17638596,129.3360658
145,임원건강증진센터 주차장화장실,강원도 삼척시,강원도 삼척시 원덕읍 임원리 353-12,1,2,0,0,2,0,37.23406123,129.3423412
146,임원주유소,강원도 삼척시 원덕읍 삼척로 1203,강원도 삼척시 원덕읍 임원리 351-3,1,0,0,0,1,0,37.23196997,129.342504
147,임원출장소,,강원도 삼척시 원덕읍 임원리 345-8,2,2,0,0,2,0,37.23256919,129.3435609
148,임원항 공동화장실,강원도 삼척시 임원항구로 34-7,강원도 삼척시 원덕읍 임원리 124-10,2,4,1,0,5,1,37.22976069,129.3463588
149,임원회센타 화장실,강원도 삼척시 원덕읍 임원항구로 12-13,강원도 삼척시 원덕읍 임원리 124-10,3,4,1,1,5,1,37.22976628,129.3435756
150,천년학 용암산 대평원화장실,강원도 삼척시 원덕읍 사곡길 43-127,강원도 삼척시 원덕읍 산양리 1367-3,1,4,1,0,7,1,37.1414561,129.2968056
151,해신당공원(어촌민속전시관),강원도 삼척시 삼척로 1852-6,강원도 삼척시 원덕읍 갈남리 301,3,6,1,1,4,1,37.26795788,129.3272826
152,해신당공원(제1매표),강원도 삼척시 원덕읍 삼척로 1852-6,강원도 삼척시 원덕읍 갈남리 303,3,3,0,0,4,0,37.26795788,129.3272826
153,해신당공원(제2매표),강원도 삼척시 원덕읍 삼척로 1852-6,강원도 삼척시 원덕읍 갈남리 302,3,3,1,0,3,1,37.26795788,129.3272826
154,호산삼거리주유소,강원도 삼척시 원덕읍 삼척로 324,강원도 삼척시 원덕읍 월천리 608-1,0,0,0,0,0,0,37.16750211,129.3400137
